,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
1045,Splendora ,64361,11.8,15.0,8.5,13.6,8.7,6.7,6.7,26.7,2049,121,5.905319668130796,65.8,34.2,1119
1046,Spofford ,70000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,103,0,0.0,100.0,0.0,-
1047,Spring Branch ,152750,0.0,7.6,5.9,25.0,4.8,0.0,0.0,0.0,191,8,4.18848167539267,46.1,53.9,-
1048,Springlake ,-,18.6,12.5,23.7,2.8,50.0,63.6,63.6,-,91,6,6.593406593406594,92.6,7.4,-
1049,Springtown ,69500,6.3,14.3,12.0,29.5,15.8,7.4,7.4,64.6,3226,215,6.66460012399256,60.1,39.9,1339
1050,Spring Valley Village ,229702,1.5,2.0,1.8,0.0,6.7,5.0,5.0,0.0,4222,67,1.5869256276646138,96.1,3.9,"3,500+"
1051,Spur ,37414,16.4,16.7,21.2,42.6,25.4,12.7,12.7,38.5,730,49,6.712328767123288,77.3,22.7,450
1052,Stafford ,87245,9.4,12.4,6.2,9.4,8.6,7.9,7.9,16.2,17217,757,4.396817099378522,45.8,54.2,1368
1053,Stagecoach ,109107,2.0,10.1,7.9,66.7,4.2,0.0,0.0,0.0,554,5,0.9025270758122743,97.5,2.5,-
1054,Stamford ,43750,21.9,28.6,24.3,44.2,26.6,22.3,22.3,0.0,2748,330,12.008733624454148,70.8,29.2,1068
1055,Stanton ,70543,14.3,25.1,14.9,31.3,6.4,22.0,22.0,41.0,2609,69,2.6446914526638556,50.8,49.2,891
1056,Staples ,82768,0.7,1.4,1.5,20.0,0.0,0.0,0.0,-,273,2,0.7326007326007326,73.2,26.8,1643
1057,Star Harbor ,108500,9.0,9.5,8.3,0.0,26.7,7.6,7.6,0.0,500,17,3.4000000000000004,94.6,5.4,-
1058,Stephenville ,48088,19.6,19.6,10.5,17.2,16.6,11.2,11.2,42.1,18618,2027,10.88731335266946,45.9,54.1,1064
1059,Sterling City ,64471,0.5,1.4,1.7,0.0,3.9,0.0,0.0,-,1099,10,0.9099181073703366,90.6,9.4,882
1060,Stinnett ,51842,15.9,23.5,9.6,0.0,15.0,9.7,9.7,82.8,1158,191,16.493955094991364,69.4,30.6,855
1061,Stockdale ,56685,16.1,18.4,15.0,24.1,10.8,19.5,19.5,0.0,1328,130,9.789156626506024,64.5,35.5,964
1062,Stockton Bend ,152000,4.8,7.9,5.5,0.0,0.0,7.9,7.9,-,592,35,5.912162162162162,98.2,1.8,-
1063,Stratford ,51036,11.7,11.9,10.4,5.6,9.9,14.2,14.2,0.0,1217,64,5.258833196384552,84.8,15.2,933
1064,Strawn ,46780,17.7,18.7,19.6,23.0,28.5,6.9,6.9,0.0,491,35,7.128309572301425,75.9,24.1,575
1065,Streetman ,45000,13.4,4.1,11.9,42.5,3.7,14.3,14.3,0.0,490,32,6.530612244897959,80.5,19.5,650
1066,Sudan ,69175,7.7,7.7,6.3,11.8,7.5,5.6,5.6,0.0,1054,4,0.3795066413662239,81.1,18.9,758
1067,Sugar Land ,132247,4.7,4.4,4.7,9.7,11.3,4.9,4.9,8.7,109554,2394,2.18522372528616,81.2,18.8,1868
1068,Sullivan City ,39067,27.9,30.8,24.7,24.4,30.1,27.4,27.4,19.0,3917,693,17.692111309675774,88.3,11.7,638
1069,Sulphur Springs ,54950,16.2,16.1,15.1,31.0,20.1,12.1,12.1,49.6,15584,1139,7.308778234086242,55.0,45.0,955
1070,Sundown ,62679,8.5,13.8,10.5,24.5,7.0,8.7,8.7,43.2,1491,70,4.694835680751173,71.9,28.1,619
1071,Sunnyvale ,152632,7.7,6.8,5.4,26.4,3.6,13.1,13.1,86.1,7873,68,0.8637114187730216,84.5,15.5,999
1072,Sunray ,54609,14.8,16.3,14.7,23.7,20.1,5.7,5.7,10.0,2717,152,5.594405594405594,78.3,21.7,970
1073,Sunrise Beach Village ,78333,1.5,3.7,2.8,9.4,2.9,1.9,1.9,0.0,905,4,0.44198895027624313,86.2,13.8,981
1074,Sunset Valley ,141250,0.0,5.9,3.7,-,0.0,13.3,13.3,0.0,560,12,2.142857142857143,91.9,8.1,"3,500+"
1075,Sun Valley ,40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,75,0,0.0,31.3,68.8,371
1076,Surfside Beach ,86544,4.4,14.2,9.4,30.0,2.5,13.5,13.5,72.2,610,47,7.704918032786885,81.8,18.2,1769
1077,Sweeny ,63125,3.4,22.8,7.8,23.2,9.7,2.2,2.2,68.1,3499,262,7.487853672477851,69.3,30.7,1088
1078,Sweetwater ,44306,13.5,23.1,18.4,36.3,12.0,19.0,19.0,39.4,10324,757,7.332429290972492,56.9,43.1,801
1079,Taft ,54286,23.0,30.7,17.4,47.3,7.9,7.0,7.0,0.0,2809,337,11.997152011391954,63.8,36.2,1079
1080,Tahoka ,41282,23.4,23.9,16.6,23.1,24.6,11.8,11.8,36.4,2392,283,11.831103678929766,71.5,28.5,1043
1081,Talco ,25208,40.1,46.9,33.1,12.2,48.9,27.0,27.0,70.0,607,151,24.87644151565074,68.8,31.3,701
1082,Talty ,128864,0.5,4.6,3.7,2.7,0.0,2.1,2.1,78.7,2563,56,2.1849395239953178,97.4,2.6,3227
1083,Tatum ,48125,19.0,28.2,21.4,61.1,24.8,7.8,7.8,11.1,1319,123,9.32524639878696,63.8,36.2,825
1084,Taylor ,66626,10.8,13.4,10.6,14.1,11.8,10.7,10.7,19.2,16180,600,3.7082818294190356,70.9,29.1,1041
